playerID,year,stint,tmID,GP,oRebounds,dRebounds,dq,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostDQ,ft%,fg%,three%,gs%,Postft%,Postfg%,Postthree%,Postgs%,efg%,ts%,ppg,rpg,apg,spg,bpg,eff,pp36,defensive_prowess,defensive_discipline,mpg,pos,college,playoff,confID,playoff_progression,height,weight,award_count
25,2,0,563,32,1.25,4.72,0.06,35.0,14.67,2.33,3.67,6.0,2.33,0.67,0.67,3.0,3.0,0.0,0.93,0.43,0.38,0.94,0.73,0.45,0.55,1.0,0.94,1.04,11.81,5.97,1.97,1.03,1.78,-233.44,13.68,75.3,8.94,30.75,2,594,1,698,1,77.0,182,0
25,4,0,558,33,1.36,4.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.89,0.42,0.36,0.21,0.0,0.0,0.0,0.0,0.96,1.02,8.42,5.48,1.94,1.09,1.3,-197.77,11.88,65.19999999999999,7.94,25.76,2,594,0,698,0,77.0,182,0
25,5,0,558,34,0.97,6.26,0.0,30.8,8.4,1.4,5.4,6.8,2.0,0.8,1.8,2.4,3.6,0.0,0.92,0.46,0.46,0.97,0.8,0.39,0.31,1.0,1.1,1.16,11.59,7.24,1.97,1.09,1.71,-229.4,13.68,90.60000000000001,9.88,30.82,2,594,1,698,2,77.0,182,0
25,6,0,558,33,1.18,5.7,0.03,29.5,4.5,0.5,3.5,4.0,1.0,1.5,1.0,0.5,2.0,0.0,0.85,0.44,0.39,1.0,1.0,0.3,0.33,1.0,1.02,1.1,8.73,6.88,1.79,0.76,1.39,-179.45,10.799999999999999,78.5,8.36,28.88,2,594,1,698,1,77.0,182,0
26,2,0,566,5,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.4,1.2,0.8,0.4,0.0,-7.199999999999999,2.16,14.0,1.6,7.0,1,585,0,697,0,70.0,156,0
26,3,0,566,17,1.06,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.36,0.23,0.18,0.0,0.0,0.0,0.0,0.76,0.88,5.88,2.35,0.71,0.47,0.41,-81.18,12.6,21.8,6.36,16.76,1,585,0,697,0,70.0,156,0
26,4,0,560,26,0.31,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.27,0.29,0.0,0.0,0.0,0.0,0.0,0.72,0.74,2.27,1.27,0.19,0.04,0.12,-64.11,12.6,11.200000000000001,2.38,6.46,1,585,0,697,0,70.0,156,0
27,1,0,562,5,0.4,0.0,0.0,1.5,0.5,0.0,0.25,0.25,0.5,0.0,0.0,0.25,0.0,0.0,0.5,0.6,0.0,0.0,0.0,0.5,0.0,0.0,1.2,1.18,1.6,0.4,0.8,0.0,0.0,-3.2,15.84,0.0,1.6,3.6,2,595,1,698,2,71.0,165,0
27,2,0,562,3,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.67,0.33,0.0,0.0,0.0,1.0,24.12,3.3000000000000003,0.0,1.0,2,595,1,698,1,71.0,165,0
27,3,0,559,26,1.73,2.19,0.04,25.0,5.0,1.5,2.5,4.0,1.5,1.5,0.0,3.5,2.0,0.0,0.52,0.33,0.25,0.65,0.0,0.44,0.5,1.0,0.68,0.72,3.46,3.92,1.08,1.23,0.35,-102.96000000000001,6.4799999999999995,37.7,6.84,18.96,2,595,1,697,1,71.0,165,0
