playerID,year,stint,tmID,playoff,confID,career_year,playoff_exit,pos,efg%,ts%,rpg,apg,eff,defensive_prowess,defensive_discipline,prizeCount
thomala01w,4,0,CLE,1,EA,1,1,2,0.6546894893195643,0.6205481105879512,5.12,1.16,0.4773829172684134,0.4098890643906855,0.4730988703854664,0
thomala01w,5,0,SAS,0,WE,2,0,2,0.3286,0.36693333333333333,4.45,1.35,0.3969292661811886,0.3259265793145478,0.7083356944523148,0
thomala01w,6,0,SAS,0,WE,3,0,2,0.5838666666666666,0.6338503877908431,3.24,1.05,0.7080863465718238,0.32886376676087464,0.528501243044868,0
thomala01w,7,0,SAS,0,WE,4,0,2,0.6110133946691922,0.46066525871172126,4.32,1.16,0.7853794642857144,0.390804373100935,0.5643181625800626,0
thomala01w,8,0,LAS,0,WE,5,0,2,0.39080000000000004,0.42832,2.26,1.19,0.7075822469054455,0.1743949524437329,0.40096782187903535,0
thomala01w,9,1,DET,1,EA,6,8,2,0.40002999850007503,0.3652423993426459,0.71,0.14,0.9748411451616684,0.06639956867702834,0.09988114381598268,0
thomala01w,9,2,MIN,0,WE,7,0,2,0.8486575671216439,0.7670501232539031,1.92,0.23,0.9154024713357876,0.13585744032126126,0.36571348668111586,0
thomast01w,1,0,POR,0,WE,1,0,2,0.365,0.573551671941654,3.94,3.16,0.48816899903856426,0.4375047619047619,0.6793227296049256,0
thomast01w,2,0,POR,0,WE,2,0,2,0.3667,0.34424498416050686,2.19,1.28,0.7701902239345052,0.24296103844980466,0.4085505566487856,0
thomast01w,3,0,POR,0,WE,3,0,2,0.5675716214189291,0.5626806109811476,2.94,2.09,0.5868979319546365,0.29062415871954056,0.3561046511627907,0
thomast01w,4,2,DET,1,EA,4,8,2,0.4863488470787948,0.43450440661596046,1.45,0.45,0.9462812048689911,0.17634235782045243,0.21172994060789563,0
thomast01w,4,1,PHO,0,WE,5,0,2,0.5535436412505306,0.5234818302547386,1.42,0.53,0.8900608623891066,0.1750122389410776,0.18388261325259112,0
thomast01w,5,0,DET,1,EA,6,1,2,0.0,0.0,0.0,0.0,0.9872689310994551,0.0,0.0,0
thomast01w,6,1,DET,1,EA,7,1,2,0.2222666666666667,0.3608956717538154,1.18,0.47,0.940747875913851,0.13125013281200196,0.15668284598082158,0
thomast01w,6,2,MIN,0,WE,8,0,2,0.0,0.0,2.0,0.0,0.9950602647698084,0.10624960156399414,0.0,0
thompal01w,1,0,IND,0,EA,1,0,2,0.5489999999999999,0.7799642218246869,5.06,1.32,0.5333831855570986,0.4208952380952381,0.6010639734276687,0
thompal01w,2,0,IND,0,EA,2,0,2,0.48560000000000003,0.44447377683914113,2.86,1.14,0.718709366722851,0.25945499099524666,0.2818152411246192,0
thompal01w,3,0,IND,1,EA,3,1,2,0.5848207589620519,0.5730012384752993,2.33,0.78,0.7678452301534356,0.17675659359933432,0.24547674418604654,0
thompal01w,5,0,SEA,1,WE,4,8,2,0.31479999999999997,0.3158666666666667,1.04,0.39,0.9005703518867444,0.07670039933924591,0.09855782852609508,0
thompal01w,6,0,SEA,1,WE,5,1,2,0.5844,0.5896922692019014,1.5,0.47,0.8320490021734835,0.1522875539216728,0.17265005327335148,0
thompti01w,1,0,HOU,1,WE,1,8,2,0.5368999999999999,0.8056969863767717,7.66,1.5,0.2129313107573976,0.7410666666666667,0.7257432961572736,1
thompti01w,2,0,HOU,1,WE,2,1,2,0.41859999999999997,0.42476240760295675,7.77,1.93,0.0,0.6560873116628777,0.7233334231878588,0
thompti01w,3,0,HOU,1,WE,3,1,2,0.7205639718014099,0.7290491261868721,7.48,2.14,0.14847231487658435,0.5485434121111755,0.6736162790697674,0
thompti01w,4,0,HOU,1,WE,4,1,2,0.6491724430612534,0.6040082095858988,5.89,1.68,0.1822003301010934,0.5509186133510683,0.6966490043088389,0
thompti01w,5,0,HOU,0,WE,5,0,2,0.30060000000000003,0.3380666666666667,6.04,1.85,0.12313489840607021,0.487298125190448,0.7519266730889103,0
thompti01w,6,0,HOU,1,WE,6,2,2,0.6043999999999999,0.5970728046034526,3.8,1.47,0.7270055325034579,0.3966616375188593,0.6313928021782882,0
thompti01w,7,0,HOU,1,WE,7,1,2,0.7076173724800433,0.5007039774727209,5.62,2.24,0.5337053571428572,0.5582933573026682,0.7053977032250782,1
thompti01w,8,0,HOU,0,WE,8,0,2,0.37816000000000005,0.4368,6.74,2.76,0.046500682449286936,0.5982578397212542,0.6240364172329685,0
