,year,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,tmORB,tmDRB,tmTRB,opptmORB,opptmDRB,opptmTRB,GP,min,attend,count,tmID_ATL,tmID_CHA,tmID_CHI,tmID_CLE,tmID_CON,tmID_DET,tmID_HOU,tmID_IND,tmID_LAS,tmID_MIA,tmID_MIN,tmID_NYL,tmID_ORL,tmID_PHO,tmID_POR,tmID_SAC,tmID_SAS,tmID_SEA,tmID_UTA,tmID_WAS
31,2,739,1915,333,504,117,418,356,699,1055,424,537,257,495,127,1928,791,1945,347,467,146,408,331,737,1068,487,543,261,454,103,2075,0,0,0,0,0,0,32,6500,246667,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
32,3,770,1790,490,663,211,527,302,653,955,496,647,241,408,105,2241,778,1807,444,598,133,372,295,620,915,489,600,208,424,103,2133,0,0,0,0,0,0,32,6450,106670,4.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
33,3,760,1820,430,553,121,374,295,674,969,480,567,221,451,83,2071,797,1834,397,521,149,441,278,640,918,530,613,242,428,109,2140,0,0,0,0,0,0,32,6550,149084,4.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
34,3,766,1919,472,651,110,364,360,719,1079,478,609,201,541,132,2114,828,1984,464,605,146,447,314,669,983,465,637,277,443,139,2266,0,0,0,0,0,0,32,6450,94171,11.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
35,3,755,1778,453,585,109,332,299,702,1001,450,467,260,455,126,2072,705,1880,331,452,151,489,309,664,973,446,606,262,464,71,1892,0,0,0,0,0,0,32,6425,188648,17.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
36,3,731,1825,455,580,180,543,315,633,948,447,559,268,438,100,2097,804,1817,359,503,162,464,288,644,932,507,647,226,470,145,2129,0,0,0,0,0,0,32,6425,134945,11.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
37,3,891,2002,476,645,194,515,329,814,1143,583,664,257,517,161,2452,796,2040,480,649,163,521,314,645,959,508,623,275,453,111,2235,0,0,0,0,0,0,32,6475,186410,22.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
39,3,727,1775,383,578,166,500,309,650,959,466,617,226,529,102,2003,747,1807,469,613,141,389,302,612,914,495,618,273,465,117,2104,0,0,0,0,0,0,32,6475,139874,8.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
40,3,772,1740,400,567,145,400,260,610,870,496,638,261,458,100,2089,691,1733,484,645,149,434,312,649,961,410,597,228,478,88,2015,0,0,0,0,0,0,32,6450,234717,5.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
42,3,793,1889,405,538,100,328,292,626,918,427,623,267,501,94,2091,850,1870,436,608,155,388,309,692,1001,532,600,268,491,127,2291,0,0,0,0,0,0,32,6400,139798,10.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
